Search Times,T/¦Ìs
1,5.1
1,0.2
1,0.2
1,0.2
1,0.2
1,0.1
1,0.1
1,0.2
1,0.2
1,0.2
1,0.1
1,0.2
1,0.1
1,0.1
1,0.2
1,0.1
1,0.2
1,0.2
1,0.1
1,0.1
1,0.2
1,0.1
1,0.2
1,0.1
1,0.2
1,0.1
1,0.2
1,0.2
1,0.1
1,0.1
1,0.2
1,0.1
1,0.1
1,0.2
1,0.2
1,0.2
1,0.1
1,0.1
1,0.2
1,0.2
1,0.1
1,0.1
1,0.2
1,0.2
1,0.1
1,0.2
1,0.2
1,0.2
1,0.1
1,0.1
1,0.2
1,0.2
1,0.2
1,0.1
1,0.1
1,0.1
1,0.1
1,0.1
1,0.2
1,0.1
1,0.2
1,0.2
1,0.2
1,0.2
1,0.2
1,0.1
1,0.1
1,0.1
1,0.2
1,0.2
1,0.1
1,0.1
1,0.1
1,0.2
1,0.2
1,0.1
1,0.1
1,0.1
1,0.2
1,0.2
1,0.2
1,0.2
1,0.2
1,0.1
1,0.2
1,0.1
1,0.2
1,0.2
1,0.1
1,0.1
1,0.1
1,0.2
1,0.1
1,0.2
1,0.2
1,0.1
1,0.2
1,0.2
1,0.2
1,0.1
Search Times,T/¦Ìs
